Product ID,Brand,Category,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD10129,Blustream,Video Extenders,HEX31WP-TX-US,HEX31WP-TX-US,2 x HDMI & 1 x USB-C Wall Plate HDBaseT™ Transmitter,,1150,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=455,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex31wp-tx-us-1469"
PROD10130,Blustream,Video Extenders,HEX11WP-RX,HEX11WP-RX,HDMI Wall Plate HDBaseT™ Receiver,,800,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=181,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex11wp-rx-613"
PROD10131,Blustream,Video Extenders,FVE4K-KIT,FVE4K-KIT,4K UHD Fiber Extender Set,997,1700,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=398,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/fve4k-kit-1407"
PROD10132,Blustream,Video Extenders,RX18G,RX18G,HDBaseT™ 18G ARC Receiver for HMX88-18G - 100m,464,790,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=471,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/rx18g-1763"
PROD10133,Blustream,Video Extenders,UEX3C-KIT,UEX3C-KIT,NEW! 100m USB 3.2 Gen1 Extender,645,1100,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=590,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/uex3c-kit-2141"
PROD10134,Blustream,Video Extenders,HEX70USB-KIT,HEX70USB-KIT,HDBaseT™ HDMI 2.0 & USB 2.0 Extender Set - 70m,604,1030,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=724,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/hex70usb-kit-2429"
PROD10135,Blustream,USB Extenders,UEX100E-KIT,UEX100E-KIT,Advanced USB 2.0 HDBaseT™ Extender Set - 100m,424,721,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=724,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/uex100e-kit-432"
PROD10136,Blustream,USB Extenders,UEX50B-KIT,UEX50B-KIT,USB 2.0 Extender Set - 50m,242,412,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=724,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/uex50b-kit-428"
PROD10137,Blustream,Audio Extenders,PAC500AU,PAC500AU,Passive Analog audio extender 500M,57,94,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=388,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/pac500au-527"
PROD10138,Blustream,Audio Extenders,CAT100AU,CAT100AU,Audio over CAT5 - 100m,123,208,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=389,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/cat100au-521"
